id,name,description,price,category_name,image_url,is_available,display_order,dietary_tags
cc495c22-d4d7-42b8-a627-eae7a5ba82db,Continental Platter,"Fresh-baked bagels with cream cheese, assorted muffins, pastries, and Danish",14.99,Breakfast,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/cc495c22-d4d7-42b8-a627-eae7a5ba82db-1767779769106.webp,true,11,[]
4230253b-535d-4902-9c4c-b029907bb91e,Turkey Bacon,"Jack cheese, lettuce, tomato, red onion, gherkin, mayo, mustard",12.99,Sandwiches,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/4230253b-535d-4902-9c4c-b029907bb91e-1767957822560.webp,true,1,[]
b63b4f18-1438-4929-be7a-d3e00f7824ad,Turkey Cranberry,"With homemade stuffing, provolone, lettuce, red onion, and mayo",12.99,Sandwiches,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/b63b4f18-1438-4929-be7a-d3e00f7824ad-1767957828531.webp,true,2,[]
efb0d717-b24e-4267-ba45-40355361ecb3,Turkey Cheddar,Classic deli favorite with fresh veggies and condiments,12.99,Sandwiches,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/efb0d717-b24e-4267-ba45-40355361ecb3-1767957827366.webp,true,3,[]
8d8c6398-66da-4659-9060-cb9f3c67a195,Roast Beef Cheddar,"With horseradish cream, lettuce, tomato, and gherkin",13.99,Sandwiches,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/8d8c6398-66da-4659-9060-cb9f3c67a195-1767957826268.webp,true,4,[]
3e838888-3942-4e81-a754-2adca1739472,Ham & Cheese,Simple and satisfying with crisp lettuce and tomato,11.99,Sandwiches,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/3e838888-3942-4e81-a754-2adca1739472-1767957829682.webp,true,5,[]
ff394be8-a83d-41d5-909e-fa643f847332,Sicilian,"Salami, prosciutto, mozzarella, pesto, spinach, tomato, balsamic",13.99,Sandwiches,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/ff394be8-a83d-41d5-909e-fa643f847332-1767957825151.webp,true,6,[]
a89c0a74-e473-4067-a230-3b0c0e837d23,Salami Provolone,"Classic combo with red onion, mustard, mayo, and gherkin",12.99,Sandwiches,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/a89c0a74-e473-4067-a230-3b0c0e837d23-1767957818107.webp,true,7,[]
5ca97881-2727-477f-a256-4c5b5c2ca658,Pastrami Swiss,"Layered with red onion, mustard, and mayo",13.99,Sandwiches,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/5ca97881-2727-477f-a256-4c5b5c2ca658-1767957823994.webp,true,8,[]
56e1183e-107f-4cd0-87ed-2f37ea08fb5f,Greek Salad,"Lettuce, Cucumber, Onions, Tomatoes, Olives, Feta Cheese, Lemon Relish dressing. 250+ Calories",11.99,Salad,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/56e1183e-107f-4cd0-87ed-2f37ea08fb5f-1767779185441.webp,true,1,[]
f53d0a6a-5da0-4ac4-b6b7-2a191f420fe5,Mediterranean Salad,"Lettuce, Cucumber, Onions, Tomatoes, Olives, Garbanzo beans, Lemon Relish dressing. 212+ Calories",11.99,Salad,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/f53d0a6a-5da0-4ac4-b6b7-2a191f420fe5-1767779187553.webp,true,2,[]
38ac037f-f37f-4ec3-a3ce-615ca1a58841,Caesar Salad,"Lettuce, Parmesan Cheese, Croutons, Caesar dressing. 162+ Calories",10.99,Salad,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/38ac037f-f37f-4ec3-a3ce-615ca1a58841-1767779184359.webp,true,3,[]
220de400-d89e-4fe2-be6f-d5717c3feadd,Italian Salad,"Lettuce, Parmesan Cheese, Croutons, Onions, Tomatoes, Olives, Italian dressing. 239+ Calories",11.99,Salad,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/220de400-d89e-4fe2-be6f-d5717c3feadd-1767779178499.webp,true,4,[]
99869f49-e2be-40cd-af23-7a0cff67c00a,Cobb Salad,"Lettuce, Tomatoes, Onions, Cheddar Cheese, Bacon, Eggs, Avocado, Ranch dressing. 370+ Calories",13.99,Salad,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/99869f49-e2be-40cd-af23-7a0cff67c00a-1767779180931.webp,true,5,[]
5ac4b80d-bc65-474a-88b8-1115d8dd230c,Taco Salad,"Lettuce with corn, tomatoes, onion, beans, tortilla chips, bell peppers, grilled Chicken, avocado, cheddar cheese. Chipotle ranch dressing. 322+ Calories",14.99,Salad,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/5ac4b80d-bc65-474a-88b8-1115d8dd230c-1767779186511.webp,true,6,[]
99e0634f-e193-467f-a2b0-6c3bc07758f7,Thai Salad,"Pasta, Tomatoes, Onions, Bell peppers, Zucchini, Cucumbers, Parmesan Cheese, Italian dressing, Croutons. 370+ Calories",13.99,Salad,https://jmmdzoovcfqrqdkiowhd.supabase.co/storage/v1/object/public/photos/menu-items/99e0634f-e193-467f-a2b0-6c3bc07758f7-1767779182151.webp,true,7,[]
